Responden,X1.1,X1.2,X1.3,X1.4,X1.5,X1.6,X1.7,X1.8,X1.9,X1.10,X1.11,X1.12,X1.13,X1.14,X2.1,X2.2,X2.3,X2.4,X2.5,X2.6,X2.7,X2.8,X2.9,X2.10,X2.11,Y1.1,Y1.2,Y1.3,Y1.4,Y1.5,Y1.6,Y1.7,Y1.8,Y1.9,Y1.10,Y1.11,Y1.12,Y1.13,Y1.14
Responden 1,5,5,5,5,5,5,5,5,3,3,5,4,3,4,4,4,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
Responden 2,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Responden 3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
Responden 4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,3,3,4,4,5,4,4,4,3,4,3,4,4,4,4,3,4,4,3,4,4,4,5
Responden 5,5,5,5,4,4,3,3,4,4,4,5,4,4,4,4,4,3,4,4,5,5,5,4,3,4,3,3,5,4,5,5,4,3,4,5,4,4,4,5
Responden 6,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,3,3,3,3,3,4,4,4,2,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4
Responden 7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
Responden 8,5,5,5,5,5,5,3,3,3,2,4,3,3,3,5,2,4,5,3,5,5,4,5,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
Responden 9,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,3,4,4,4,3,4,4,4,4,4
Responden 10,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,3,3,3,4,4,4,4,3,4,3,4,4,4,4,2,4,3,3,4,3,4,3,3
Responden 11,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
Responden 12,4,5,4,4,5,5,4,5,4,5,4,4,4,4,5,5,5,4,4,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5
Responden 13,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4
Responden 14,4,4,3,4,4,4,4,3,4,4,3,3,3,3,4,4,3,4,3,4,3,4,4,2,3,3,4,4,3,4,3,4,4,4,4,4,5,4,4
Responden 15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
Responden 16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4
Responden 17,4,4,4,4,4,4,4,5,5,5,4,5,4,4,2,3,4,4,3,3,3,4,4,2,2,3,4,5,4,4,4,4,4,4,4,4,4,4,4
Responden 18,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
Responden 19,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4,4,4,4,4,4,5,4,5,4,4,5,4,5,5,4,4,4,5,5,5,5,5,5,5
Responden 20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Responden 21,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
Responden 22,5,4,4,4,4,5,5,4,4,3,3,4,3,3,4,4,4,4,3,4,4,4,3,3,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4
Responden 23,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4
Responden 24,4,4,4,4,4,4,4,3,4,4,4,4,4,3,2,2,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4
Responden 25,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4
Responden 26,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4
Responden 27,5,5,5,5,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,4,4,5,5,5,4,5,5,5,4,5,5,4,5
Responden 28,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,5,4,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4
Responden 29,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4
Responden 30,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4
Responden 31,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Responden 32,4,4,3,4,4,4,5,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,3,2,4,4,2,3,4,4,4,4,4,3,3,3
Responden 33,5,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,5,5,4,5,4,4,4,4
Responden 34,4,4,5,5,5,4,5,5,4,4,4,5,4,4,5,5,4,4,4,5,5,5,5,5,5,4,4,5,5,5,4,5,4,4,4,5,4,4,5
Responden 35,4,4,4,3,5,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,5,4,4,4
Responden 36,4,4,4,4,4,4,4,4,3,4,3,5,4,4,4,4,4,4,4,3,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
Responden 37,4,4,4,4,4,4,5,5,4,4,5,5,4,4,4,4,5,5,4,5,5,4,5,4,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5
Responden 38,4,5,5,4,5,4,5,5,5,4,4,4,5,5,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Responden 39,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Responden 40,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Responden 41,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4
Responden 42,5,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,2,2,4,4,4,3,4,3,5,4,5,5,5,5,5,4,4,5,5,5,5
Responden 43,4,4,4,4,5,4,3,4,4,4,4,5,4,5,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,3,4
Responden 44,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,2,2,3,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
Responden 45,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Responden 46,4,5,4,4,5,5,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
Responden 47,5,5,5,4,4,5,5,5,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,5,5,5,3,5,4,4,4,5,4,4,4
Responden 48,4,4,5,4,5,3,3,4,4,4,4,3,3,4,3,3,2,2,2,4,4,3,3,2,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4
Responden 49,4,4,4,4,4,4,4,3,3,3,4,4,3,4,3,4,3,3,3,4,4,3,4,3,3,3,4,4,4,4,3,4,4,4,3,4,4,4,4
Responden 50,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
Responden 51,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Responden 52,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Responden 53,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
Responden 54,5,5,4,4,5,3,3,4,4,4,3,3,3,4,5,5,4,3,4,4,5,4,3,3,3,3,4,4,5,4,4,3,5,4,4,4,5,4,4
Responden 55,5,4,5,4,4,3,4,4,5,4,3,4,3,3,4,4,4,4,4,5,4,5,5,3,3,3,4,3,4,5,4,4,4,4,4,4,4,4,4
Responden 56,5,4,4,5,5,5,5,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,2,4
Responden 57,2,4,4,4,4,4,4,3,4,2,3,4,3,3,4,3,4,2,2,4,4,4,4,2,2,2,4,4,4,5,3,4,4,4,2,4,4,4,4
Responden 58,4,5,4,5,4,4,5,4,5,5,5,5,3,3,4,5,5,4,5,5,4,5,5,4,4,3,5,4,4,4,5,4,5,5,5,5,4,3,5
Responden 59,4,4,3,4,4,4,5,5,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Responden 60,4,4,4,2,2,2,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,4,3,3,4
Responden 61,3,3,3,3,3,3,3,4,4,4,4,5,4,4,4,4,5,5,4,5,5,5,5,4,4,2,5,5,5,5,3,5,5,2,4,5,2,2,2
Responden 62,4,4,3,3,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,4,4,4,3,4,4,3,3,3,3,3,4
Responden 63,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4
Responden 64,4,5,5,4,5,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5,4,5,4,4,4
Responden 65,3,3,3,4,4,4,4,3,3,4,4,4,5,4,3,4,3,3,3,4,4,3,2,2,2,2,3,3,3,3,3,3,3,3,4,3,4,3,3
